filename,label
background_0001.__0,background
background_0001.__1,background
background_0001.__2,background
background_0001.__3,background
background_0001_time_stretch_0.__0,background
background_0001_time_stretch_0.__1,background
background_0001_time_stretch_0.__2,background
background_0001_time_stretch_0.__3,background
background_0001_time_stretch_0.__4,background
background_0001_time_stretch_0.__5,background
background_0001_time_stretch_1.__0,background
background_0001_time_stretch_1.__1,background
background_0001_time_stretch_1.__2,background
background_0001_time_stretch_1.__3,background
background_0001_time_stretch_1.__4,background
background_0001_time_stretch_1.__5,background
background_0001_time_stretch_10.__0,background
background_0001_time_stretch_10.__1,background
background_0001_time_stretch_10.__2,background
background_0001_time_stretch_10.__3,background
background_0001_time_stretch_10.__4,background
background_0001_time_stretch_10.__5,background
background_0001_time_stretch_10.__6,background
background_0001_time_stretch_11.__0,background
background_0001_time_stretch_11.__1,background
background_0001_time_stretch_11.__2,background
background_0001_time_stretch_11.__3,background
background_0001_time_stretch_11.__4,background
background_0001_time_stretch_11.__5,background
background_0001_time_stretch_11.__6,background
background_0001_time_stretch_11.__7,background
background_0001_time_stretch_12.__0,background
background_0001_time_stretch_12.__1,background
background_0001_time_stretch_12.__2,background
background_0001_time_stretch_12.__3,background
background_0001_time_stretch_12.__4,background
background_0001_time_stretch_12.__5,background
background_0001_time_stretch_13.__0,background
background_0001_time_stretch_13.__1,background
background_0001_time_stretch_13.__2,background
background_0001_time_stretch_13.__3,background
background_0001_time_stretch_13.__4,background
background_0001_time_stretch_2.__0,background
background_0001_time_stretch_2.__1,background
background_0001_time_stretch_2.__2,background
background_0001_time_stretch_2.__3,background
background_0001_time_stretch_2.__4,background
background_0001_time_stretch_2.__5,background
background_0001_time_stretch_2.__6,background
background_0001_time_stretch_3.__0,background
background_0001_time_stretch_3.__1,background
background_0001_time_stretch_3.__2,background
background_0001_time_stretch_3.__3,background
background_0001_time_stretch_3.__4,background
background_0001_time_stretch_3.__5,background
background_0001_time_stretch_3.__6,background
background_0001_time_stretch_4.__0,background
background_0001_time_stretch_4.__1,background
background_0001_time_stretch_4.__2,background
background_0001_time_stretch_4.__3,background
background_0001_time_stretch_4.__4,background
background_0001_time_stretch_5.__0,background
background_0001_time_stretch_5.__1,background
background_0001_time_stretch_5.__2,background
background_0001_time_stretch_5.__3,background
background_0001_time_stretch_5.__4,background
background_0001_time_stretch_5.__5,background
background_0001_time_stretch_6.__0,background
background_0001_time_stretch_6.__1,background
background_0001_time_stretch_6.__2,background
background_0001_time_stretch_6.__3,background
background_0001_time_stretch_6.__4,background
background_0001_time_stretch_6.__5,background
background_0001_time_stretch_6.__6,background
background_0001_time_stretch_6.__7,background
background_0001_time_stretch_7.__0,background
background_0001_time_stretch_7.__1,background
background_0001_time_stretch_7.__2,background
background_0001_time_stretch_7.__3,background
background_0001_time_stretch_7.__4,background
background_0001_time_stretch_8.__0,background
background_0001_time_stretch_8.__1,background
background_0001_time_stretch_8.__2,background
background_0001_time_stretch_8.__3,background
background_0001_time_stretch_8.__4,background
background_0001_time_stretch_9.__0,background
background_0001_time_stretch_9.__1,background
background_0001_time_stretch_9.__2,background
background_0001_time_stretch_9.__3,background
background_0001_time_stretch_9.__4,background
background_0002.__0,background
background_0002.__1,background
background_0002.__2,background
background_0002_time_stretch_0.__0,background
background_0002_time_stretch_0.__1,background
background_0002_time_stretch_0.__2,background
background_0002_time_stretch_1.__0,background
background_0002_time_stretch_1.__1,background
background_0002_time_stretch_1.__2,background
background_0002_time_stretch_10.__0,background
background_0002_time_stretch_10.__1,background
background_0002_time_stretch_10.__2,background
background_0002_time_stretch_10.__3,background
background_0002_time_stretch_11.__0,background
background_0002_time_stretch_11.__1,background
background_0002_time_stretch_11.__2,background
background_0002_time_stretch_12.__0,background
background_0002_time_stretch_12.__1,background
background_0002_time_stretch_12.__2,background
background_0002_time_stretch_13.__0,background
background_0002_time_stretch_13.__1,background
background_0002_time_stretch_13.__2,background
background_0002_time_stretch_13.__3,background
background_0002_time_stretch_2.__0,background
background_0002_time_stretch_2.__1,background
background_0002_time_stretch_2.__2,background
background_0002_time_stretch_2.__3,background
background_0002_time_stretch_2.__4,background
background_0002_time_stretch_3.__0,background
background_0002_time_stretch_3.__1,background
background_0002_time_stretch_3.__2,background
background_0002_time_stretch_3.__3,background
background_0002_time_stretch_3.__4,background
background_0002_time_stretch_4.__0,background
background_0002_time_stretch_4.__1,background
